Project,Class,Pattern Predicted
BuildCraft,BuilderProxy,
fafdtibb,FatNodeBuilderFactory,
ChenSun,ConnectionGroupManager,
spring-social-twitter,PlacePrototype,
orion.server,OSGiConsoleFactory,
spring-migration-analyzer,DelegatingClassVisitor,
frostwire-desktop,MRJ23EventProxy,
ChenSun,JDBC4MysqlXAConnection,
molgenis_apps,MeasurementDecorator,
ChenSun,ConnectionFeatureNotAvailableException,
drools,Memento,
cxf,ClientOutFaultObserver,
pcgen-svn,InfoFactory,
mongkie,SimpleDefaultDecorator,
SmartBIPrototype,SmartBIPrototype,
osate2-core,ComponentPrototypeImpl,
biomixer,ResourceSetFactory,
de-webapp,UserSessionServiceFacade,
jbehave-core,GuiceAnnotationBuilder,
eclipse.platform.ui,IMemento,
pellet,AtomObjectVisitor,
cdt,DefaultVMModelProxyStrategy,
pcgen-svn,AbstractListFacade,
platform,Axis2ConfigurationContextObserverImpl,
pcgen-svn,PopupMouseAdapter,
ecf,IDFactory,
prevayler,MementoTransaction,
faban,SocketFactory,
jamendo-android,TrackBuilder,
harmony-classlib,MockBeanContextProxy,
3taps-Java-Client,UpdateResponse,
AllBinary-Platform,DisplayInfoSingleton,
ocl,CompleteOCLCSTFactoryImpl,
fest-reflect,PostDecorator,
petals-studio,Filetransfer3FactoryImpl,
cdk,BehaviorRendererAdapter,
cxf,AddressingAssertionBuilder,
pcgen-svn,CampaignInfoFactory,
cdt,DelegatingDragAdapter,
maven-3,MavenSettingsBuilder,
jamendo-android,AlbumBuilder,
po-mindstorms,FacadeSector,
Get-Another-Label,Decorator,
flume_1,LazyOpenDecorator,
OneSwarm,ExternalTextResourcePrototype,
prevayler,MementoManagerCommand,
Pydev,DialogMemento,
Generic-Graph-View,InstancemodelFactory,
osate2-core,FeaturePrototypeReferenceImpl,
accent,ControlledConnectionProxy,
maven-3,ArtifactFactory,
JagTrack,Prototype,
cdt,ASTCommenterVisitor,
pcgen-svn,RaceFacade,
spring-batch,ItemWriterAdapter,
BuildCraft,BuilderProxyClient,
pcgen-svn,XPTableFacade,
Promasi-V2,SdSystemMemento,
AndroidBillingLibrary,MockBillingObserver,
flume_1,BenchmarkReportDecorator,
eclipse.platform.debug,ExpressionManagerMementoProvider,
platform,MessageStoreObserver,
coala,PdqMessageBuilderImpl,
Generic-Graph-View,GraphViewMappingFactory,
Android-RTMP,FFMPEGPrototype,
fuzzydb,BooleanDecorator,
openejb,ThreadSingletonServiceImpl,
OpenSIG,ImportacaoProxy,
java-game-server,UDPPipelineFactory,
cxf,SimpleTypeSpecVisitor,
flume_1,HelloWorldDecorator,
osate2-core,FeatureGroupPrototypeBindingImpl,
dozer,ClassMapBuilder,
activemq,JobFacade,
intellij-community,Singleton,
Lord-of-Ultima-Manager,CityAdapter,
maven-cuke4duke-jump-start,WebDriverFacade,
geronimo,CORBAEJBMemento,
ChenSun,MysqlConnectionPoolDataSource,
maven-3,DefaultJavaToolchainFactory,
AllBinary-Platform,MakeCountedPartsSingletonArrayFactory,
Cream,LoggingObserver,
Dual-Battery-Widget,IntentReceiver,
platform,ConfigurationContextObserverImpl,
freemind,ExtendedAttributeTableModelDecorator,
birt,Memento,
IDV,PrototypeManager,
ocl,OCLinEcoreCSTFactory,
CS230-Software-Project,Observable,
pcgen-svn,DescriptionFacadeImpl,
rap,MementoStateManager,
wayback,ParseEventDelegatorVisitor,
pcgen-svn,EquipmentListFacadeImpl,
harmony-classlib,Proxy,
jbehave-core,PriorityMatchingSteps,
jbehave-core,ParametrisationByDelimitedNameSteps,
Promasi-V2,CompanyMemento,
cdt,AsmModelBuilder,
pcgen-svn,DefaultListFacade,
molgenis_apps,NameableDecorator,
osate2-core,MemoryPrototypeImpl,
fest-reflect,PreDecorator,
TurtlePlayer,PreferencesObserver,
coala,PdqRouteBuilder,
spring-stringtemplate,StringTemplateDecoratorServlet,
arquillian_deprecated,ObserverImpl,
platform,DeploymentSyncAxis2ConfigurationContextObserver,
basiclti-portlet,WimbaAdapter,
eclipse.platform.debug,MemoryViewElementMementoProvider,
osate2-core,ComponentPrototypeActualImpl,
fafdtibb,LimitModeTreeBuilderFactory,
ChenSun,MysqlXAConnection,
modapi,Prototype,
activemq,SingletonBrokerFacade,
harmony-classlib,BeanContextContainerProxy,
jbehave-core,CompositeSteps,
cxf,AbstractFaultChainInitiatorObserver,
molgenis_apps,TaskDecorator,
cdt,ICPPASTVisitor,
osate2-core,VirtualBusPrototypeImpl,
pcgen-svn,TermEvaluatorBuilderEQVar,
Lord-of-Ultima-Manager,TradeAdapter,
refactoring_guru,HtmlDialog,
de-webapp,AbstractContextBuilder,
zk,IDOMFactory,
jabylon,UsersFactoryImpl,
activemq,BrokerFacadeSupport,
pellet,EntailmentQueryVisitor,
XobotOS,Singleton,
soapui,RestMethodPanelBuilder,
cdt,LocationAdapter,
biomixer,ResourceSetAvatarFactory,
cxf,MessageReplayObserver,
milton,HrResourceFactory,
frostwire-desktop,MouseObserver,
refactoring_guru,MacOSFactory,
DimSim,RTMPCodecFactory,
molgenis_apps,BiobankDecorator,
AllBinary-Platform,InputAutomationModuleConfigurationsSingletonFactory,
wayback,ReplayRendererDecoratorFactory,
LimeWire-Pirate-Edition,InNetworkDownloadMemento,
harmony-classlib,ProxySelectorImpl,
faban,AboveTimedSSLSocketFactory,
wolips,EOPrototypeListLabelProvider,
openejb,SingletonInstanceManager,
jbehave-core,StepFailureDecoratorBehaviour,
ChenSun,Clob,
LimeWire-Pirate-Edition,MagnetDownloadMementoImpl,
magic-config,TagDecorator,
directory-server,AvlTreeSingleton,
Alice,ResponsePrototype,
jbehave-core,GroovyStepsFactory,
BuildCraft,SiliconProxyClient,
pcgen-svn,SortedListFacade,
jamendo-android,RadioBuilder,
petals-studio,JbiFactoryImpl,
java-design-patterns-master,FishingBoatAdapter,
flume_1,InsistentOpenDecorator,
jbehave-core,PicoStepsFactory,
pcgen-svn,CharacterFacadeImpl,
swp1-teamhub,AufgabeFacade,
javassist,ProxyObject,
LimeWire-Pirate-Edition,GnutellaDownloadMementoImpl,
swp1-teamhub,BenutzerFacade,
jbehave-core,MetaParametrisationSteps,
Cours-3eme-ann-e,AeroportFacadeREST,
platform,BAMMediationStatisticsObserver,
geotoolkit-pending,SingletonIterator,
abdera,Singleton,
AllBinary-Platform,LicenseInterfaceSingleton,
DimSim,EventsJsonProxy,
jackrabbit,SingletonRepositoryFactory,
pizzaapp,ConfigurationSingleton,
pcgen-svn,QualifiedDecorator,
jbehave-core,PicoAnnotationBuilderBehaviour,
harmony-classlib,ProxySelector,
Dual-Battery-Widget,BillingObserver,
TapIt-Android-SDK-Source,AlertAdProxyPrototype,
intellij-community,NewInstanceOfSingletonInspection,
cdt,DeferredCWorkbenchAdapter,
osate2-core,SystemPrototypeImpl,
teiid-designer,MappingLabelDecorator,
magic-config,DecoratorFactory,
cxf,TemplateTypeSpecVisitor,
pcgen-svn,EquipmentSetFacadeImpl,
cdt,CModelBuilder2,
cxf,ScopedNameVisitor,
jbehave-core,FailingAfterStories,
ChenSun,LoadBalancingConnectionProxy,
magic-config,DecoratorFactoryImpl,
pcgen-svn,SourceSelectionFacade,
spring-migration-analyzer,DelegatingMethodVisitor,
cruisecontrol,PhingBuilder,
bio_quiz,PlayerFacade,
helma,Prototype,
ChenSun,ExtendedMysqlExceptionSorter,
ecf,ServiceResourceFactory,
java-design-patterns,Prototype,
jackrabbit,AccessControlObserver,
platform,PDPProxy,
AxonFramework,SpringPrototypeAggregateFactory,
pcgen-svn,TodoFacade,
BuildCraft,BuildersProxy,
clusterbench,LocalSingletonEjbServlet,
cdt,CElementDecorator,
cdo,CDOLazyContentAdapter,
com.happyprog.tdgotchi,RefactoringObserver,
sherlog,SimpleLogEventFilterMemento,
cdt,AutotoolsConfigurationBuilder,
protoj,Prototype,
eclipse.platform.ui,IMementoAware,
biomixer,SvgElementFactory,
intellij-community,CachedSingletonsRegistry,
jbehave-core,InjectableStepsFactory,
infinitest,ProjectFacade,
A7B36ASS,AbstractFactory,
refactoring_guru,WindowsFactory,
DimSim,ObjectProxy,
ChenSun,ExportControlled,
cdk,NormalizedStringAdapter,
cxf,ArrayVisitor,
tomcat70,ResourceFactory,
biomixer,TextSvgElementFactory,
Promasi-V2,EmployeeMemento,
AllBinary-Platform,NullHighScoresSingletonFactory,
ChenSun,IterateBlock,
nuxeo-tycho-osgi,XMLMemento,
JavaDesignPatternExercises,IMemento,
cdt,BuildConsoleStreamDecorator,
jbehave-core,AuthenticationSteps,
pellet,NumericVisitor,
harmony-classlib,Proxy,
osate2-core,ComponentPrototypeImpl,
flume_1,SelectDecorator,
jbehave-core,ThreadsStories,
ant,RmicAdapter,
swing-mvc-demo,UserModelObserver,
LimeWire-Pirate-Edition,AbstractLazySingletonProvider,
eclipse.platform.debug,DebugElementMementoProvider,
ant,TimeoutObserver,
osate2-core,VirtualProcessorPrototypeImpl,
jbehave-core,AbstractSteps,
platform,Axis2ConfigurationContextObserverImpl,
eclipse.platform.debug,XMLMemento,
platform_frameworks_base,Singleton,
cdt,CDTViewerDropAdapter,
soapui,ResponseInspectorFactory,
MPS,Memento,
james,MimeMessageCopyOnWriteProxy,
mongkie,DecoratorItem,
molgenis_apps,MolgenisFileDecorator,
playorm,IterLogProxy,
jbehave-core,OrganizationSteps,
freemind,ReducedAttributeTableModelDecorator,
3taps-Java-Client,Category,
java-design-patterns-master,KingdomFactory,
sslr,ExecutionFlowVisitor,
spring-batch,ItemReaderAdapter,
UK-Ejemplos,Observer,
jbehave-core,UserBuilder,
java-game-server,ExecutionHandlerSingleton,
cdk,ComponentAdapter,
java-design-patterns-master,Prototype,
jbehave-core,ParameterDelimitersSteps,
Android_1,IClientSocketFactory,
jbehave-core,EmbedderMonitorDecorator,
platform,ServiceStatisticsAxis2ConfigurationContextObserver,
smsc-server,DbUserManagerFactory,
biomixer,UpdateResourceSetAvatarLabelFactory,
platform,PaypalNVPProxy,
cdk,AdapterBase,
pellet,GenericTaxonomyBuilder,
protogrid,GridPrototype,
playorm,FactorySingleton,
intellij-community,CodeFormatterFacade,
jbehave-core,ScalaStepsFactory,
platform,EventAxis2ConfigurationContextObserver,
milton,ResourceFactoryFactory,
cdt,CfgProxyCache,
intellij-community,JavaPsiFacade,
AllBinary-Platform,PrimitiveLongSingleton,
wayback,ARCUnwrappingProxy,
3taps-Java-Client,GeocoderRequest,
DimSim,PopoutWindowProxy,
jbehave-core,GuiceStepsFactory,
dozer,BeanMappingBuilder,
3taps-Java-Client,SearchRequest,
jboss-aejb,SingletonAEjbHandler,
cdk,ElementAdapterBase,
molgenis_apps,LibraryLaneDecorator,
Cours-3eme-ann-e,VolFacadeREST,
LimeWire-Pirate-Edition,LibTorrentBTDownloadMementoImpl,
harmony-classlib,EventListenerProxy,
cdk,RendererAdapter,
cdo,H2Adapter,
cruisecontrol,RakeBuilder,
kahlua2,Prototype,
james,RestrictingRMISocketFactory,
Generic-Graph-View,GraphViewStyleFactoryImpl,
jbehave-core,SpringStoryReporterBuilderBehaviour,
pellet,ELTaxonomyBuilder,
osate2-core,ComponentPrototype,
cdt,CWorkbenchAdapter,
pellet,NumericComparisonVisitor,
fafdtibb,FastNodeBuilderFactory,
cxf,StaxBuilder,
ChenSun,ReflectiveStatementInterceptorAdapter,
prevayler,Memento,
DownloadProvider,SystemFacade,
cdk,FacetAdapter,
biojava-legacy,BioSQLRichObjectBuilder,
liferay-portal,LayoutPrototypeLocalServiceWrapper,
cdk,ValidatorAdapter,
JavaDesignPatternExercises,ISubject,
console_1,GinjectorSingleton,
jbehave-core,CompositeStepsFactory,
LimeWire-Pirate-Edition,DownloadMemento,
OneSwarm,ResourcePrototype,
basiclti-portlet,BasicLTIAdapterFactory,
pcgen-svn,PartyFacadeImpl,
openejb,SingletonEjbHomeHandler,
cxf,RM11AssertionBuilder,
ocl,ExpressionsFactoryImpl,
harmony-classlib,Proxy,
Emma,IItemVisitor,
osate2-core,PrototypeBindingImpl,
java-patterns,OracleRegistrationDAOFactory,
cdt,PDOMASTAdapter,
pcgen-svn,SizeFacade,
osate2-core,SubprogramGroupPrototypeImpl,
maven-3,LifecycleWeaveBuilder,
biomixer,JsDomSvgElementFactory,
smsc-server,UserManagerFactory,
cxf,ServiceWSDLBuilder,
openejb,SingletonContainer,
Dual-Battery-Widget,BatteryLevelAdapter,
birt,MementoElement,
cxf,OperationVisitor,
activemq,LocalBrokerFacade,
liferay-portal,LayoutPrototypeImpl,
small-team-km-android-client,ImageCacheSoftRefSingleton,
openejb,SingletonEjbObjectHandler,
eclipse.jdt.ui,Mementos,
agetac-ng,AddEntityMemento,
frostwire-desktop,ProxyDefintion,
osate2-core,FeaturePrototypeActualImpl,
sslr,EmptyRepetitionVisitor,
frostwire-desktop,FrmProxy,
pcgen-svn,PartyFacade,
cdt,IncludeReferenceProxy,
maven-3,DefaultArtifactFactory,
dawn-third,AxisMemento,
biomixer,Memento,
ChenSun,SocialNetworkNavigation,
mitfahrzentraleClient,ObjectFactory,
see,IntegerFactory,
ChenSun,CommunicationsException,
cdo,CDOFeatureDeltaVisitorImpl,
infinitest,WorkspaceFacade,
AllBinary-Platform,TestingInputSingleton,
JavaDesignPatternExercises,IMemento,
zen-project,SingletonSolrAware,
molgenis_apps,MeasurementDecorator,
jackrabbit,SingletonRepositoryFactory,
frostwire-desktop,DnDCellRendererProxy,
eclipse.platform.debug,ControlsMementoProvider,
pcgen-svn,PersistenceObserver,
Promasi-V2,ProjectMemento,
jbehave-core,GameObserver,
cdt,AutoconfPrototype,
refactoring_guru,Visitor,
playorm,NoSqlProxy,
Android-RTMP,FFMPEGPrototype,
intellij-community,FacetEditorFacade,
pellet,ATermBaseVisitor,
platform,DiscoveryAxis2ConfigurationContextObserver,
OneSwarm,ImageResourcePrototype,
eclipse.platform.debug,StackFrameMementoProvider,
platform,RSSManagerAxis2ConfigContextObserver,
ChenSun,ConnectionImpl,
nuxeo-tycho-osgi,Memento,
molgenis_apps,FlowcellDecorator,
Promasi-V2,MarketPlaceMemento,
coala,PdqMessageBuilderImpl,
cdt,MITTYAdapter,
milton,ImageTableObserver,
cdt,ASTGenericVisitor,
AllBinary-Platform,ConsolidatedMotionRectanglesResultsCacheSingleton,
AllBinary-Platform,BufferedImagePoolSingleton,
flume_1,DelayDecorator,
harmony-classlib,Observable,
fop,LoggingElementListObserver,
xdi2,Prototype,
cayenne,TextPaneViewFactory,
cfeclipse,ImageDecorator,
activemq,RemoteJMXBrokerFacade,
jamendo-android,DownloadJobBuilder,
eclipse.jdt.core,MementoTokenizer,
hivedb,SingletonHiveSessionFactoryBuilder,
cdk,TagHandlerGeneratorVisitor,
platform,CassandraAxis2ConfigurationContextObserver,
de-webapp,FileEditorServiceFacade,
basiclti-portlet,PeoplesoftAdapter,
dozer,TypeMappingBuilder,
jbehave-core,StepdocReporter,
cdt,ExternalEditorInputFactory,
cruisecontrol,ExecBuilder,
maven-3,DefaultProjectBuilder,
kodejava,Singleton,
cruisecontrol,ServerNameSingleton,
mongkie,DecoratorLabelRenderer,
platform,Axis2ConfigurationContextObserverImpl,
Generic-Graph-View,InstancemodelFactoryImpl,
sablecc,MMacroCreatorPrototype,
java-patterns,MySQLRegistrationDAOFactory,
dozer,CacheKeyFactory,
jbehave-core,TraderConverter,
osate2-core,AbstractPrototypeImpl,
fuzzydb,IDecorator,
biojava-legacy,SequenceBuilder,
A7B36ASS,StudentFactory,
cdk,EmptyAnnotationValueVisitor,
osate2-core,ProcessPrototypeImpl,
cdk,SimpleVisitor,
cxf,ParamDclVisitor,
cxf,JAXWSDefinitionBuilder,
DimSim,DebugProxyHandler,
frostwire-desktop,ProxyData,
cdt,BinaryObjectAdapter,
ocl,QuantitystructureFactoryImpl,
cdk,TaglibGeneratorVisitor,
BuildCraft,SiliconProxy,
freemind,ConditionNotSatisfiedDecorator,
ChenSun,AssertionFailedException,
birt,Memento,
flume_1,FormatterDecorator,
flume_1,InsistentAppendDecorator,
platform,Axis2ConfigurationContextObserverImpl,
platform,CSGAgentObserverImpl,
BuildCraft,CoreProxy,
3taps-Java-Client,GeocoderResponse,
teiid-designer,SearchRuntimeAdapter,
frostwire-desktop,MRJEventProxy,
activemq,BrokerFacade,
ChenSun,Blob,
rap,XMLMemento,
sshj,SingletonRandomFactory,
javassist,ScopedClassPoolFactoryImpl,
chute-android-components,HeartsSingleton,
petals-studio,Cdk5FactoryImpl,
tomcat70,EjbFactory,
basiclti-portlet,StandardAdapter,
s4,PrototypeRequest,
osate2-core,DevicePrototypeImpl,
cdt,ReferenceVisitor,
com.happyprog.tdgotchi,TamagotchiObserver,
java-design-patterns,SergeantVisitor,
ant,TypeAdapter,
A7B36ASS,TeacherFactory,
platform,SalesforceProxyImpl,
flume_1,MultiplierDecorator,
cdo,CDOElementProxy,
jbehave-core,FixedThreadExecutors,
jogetworkflow,WorkflowFacade,
mongkie,DecoratorLayout,
OpenSIG,ComercialProxy,
cdt,SignalsViewModelProxy,
hbase,CompatibilitySingletonFactory,
HMS,AppointmentMemento,
cdo,CDOFeatureDeltaVisitor,
cfeclipse,URLDecoratorDescriptor,
flume_1,InMemoryDecorator,
rap,ConfigurationElementMemento,
platform,BAMMediationStatisticsObserver,
ccw,ClojureVisitor,
Promasi-V2,CalculatedEquationMemento,
harmony-classlib,DataProxy,
soapui,RestServiceFactory,
jbehave-core,AnnotatedEmbedderUsingPicoAndSteps,
osate2-core,FeaturePrototypeImpl,
cdk,ConverterAdapter,
BMach,IObserver,
pcgen-svn,TermEvaluatorBuilderPCVar,
pcgen-svn,TreeTableModelAdapter,
ant,ResourceDecorator,
molgenis_apps,MolgenisFileDecorator,
jbehave-core,ExecutorServiceFactory,
platform,ProxyServiceParameterObserver,
java-design-patterns,DwarvenGoldmineFacade,
wayback,MementoReplayRendererDecorator,
eclipse.platform.ui,XMLMemento,
vogella,ElementObserver,
ccw,ClojureCore,
ocl,AbapmappingFactory,
cdk,ClassAdapter,
eclipse.platform.debug,IElementMementoProvider,
ecf,IIDFactory,
DownloadProvider,RealSystemFacade,
cfeclipse,ConfigFileDecorator,
Client,AddEntityMemento,
jackrabbit,AccessControlObserver,
mongkie,TableDecoratorItem,
osate2-core,PrototypeBinding,
dawn-ui,XYRegionMemento,
pellet,NumericComparisonVisitor,
platform,MediationStatsAxis2ConfigurationContextObserver,
CS230-Software-Project,Observer,
java-design-patterns-master,ElfKingdomFactory,
ASEME,SRMFactoryImpl,
cdo,CDOLegacyAdapter,
soapui,ResponseEditorViewFactory,
pcgen-svn,SimpleFacadeImpl,
intellij-community,CodeStyleFacade,
cdk,ELVisitor,
TapIt-Android-SDK-Source,TapitandroidModulePrototype,
activemq,SingletonBrokerFacade,
betterFORM,FluxFacade,
cdo,CDOElementProxyImpl,
ASEME,IACFactory,
flume_1,MaskDecorator,
ASEME,IACFactoryImpl,
SamyGo-Android-Remote,BSeriesKeyCodeSenderFactory,
platform,StatisticsAxis2ConfigurationContextObserver,
cxf,StringVisitor,
frostwire-desktop,Decorator,
pcgen-svn,ShowMessageGuiObserver,
platform,Axis2ConfigurationContextObserverImpl,
Get-Another-Label,WorkerDecorator,
emergency-service-drools-app,MessageServerSingleton,
jbehave-core,ParentAnnotatedEmbedderUsingPico,
social_1,PlacePrototype,
pcgen-svn,DomainFacadeImpl,
3taps-Java-Client,Source,
coala,CDABuilder,
vogella,MyEnumSingleton,
ChenSun,CompressedInputStream,
cdk,AptBuilder,
AllBinary-Platform,HighScoreNamePersistanceSingleton,
emf.compare,DiffBuilder,
cdo,CDOCommonEventAdapter,
Akka-JavaEE6-Integracia,SumSingleton,
LoL-Chat,IXmppFacade,
ChenSun,DocsConnectionPropsHelper,
BeeQueue,ProxyFactory,
spring-migration-analyzer,StubResultGatheringClassVisitorFactory,
maven-3,DefaultToolchainsBuilder,
rap,ConfigurationElementMemento,
iPage,IndexFactory,
spring-migration-analyzer,StubResultGatheringAnnotationVisitor,
swing-mvc-demo,MainModelObserver,
Promasi-V2,OutputSdObjectMemento,
sablecc,MParamRefPrototype,
AllBinary-Platform,AllMotionRectanglesResultsCacheSingleton,
jbehave-core,PatternVariantBuilder,
osate2-core,ThreadPrototypeImpl,
pellet,DefaultAtomObjectVisitor,
santuario-java,EncryptionElementProxy,
java-design-patterns,WizardTowerProxy,
activemq,DestinationFacade,
pcgen-svn,ShowMessageConsoleObserver,
3taps-Java-Client,SummaryRequest,
pcgen-svn,SpellFacadeImplem,
gansenbang,PrototypeWrapper,
cdt,CodanBuilder,
platform,Observers,
pcgen-svn,FacadeFactory,
pcgen-svn,KitFacade,
gson,ProtoTypeAdapter,
Generic-Graph-View,GraphViewStyleFactory,
platform_frameworks_base,Singleton,
platform,DSAxis2ConfigurationContextObserver,
ASEME,AIPFactoryImpl,
rap,XMLMemento,
LoL-Chat,XmppFacade,
maven-3,ArtifactRepositoryFactory,
molgenis_apps,NameableDecorator,
LimeWire-Pirate-Edition,InNetworkDownloadMementoImpl,
soapui,RestRequestPanelBuilder,
hivedb,DirectoryFacade,
dozer,JAXBBeanFactory,
birt,MementoBuilder,
cdo,EmbeddedDerbyAdapter,
Promasi-V2,StockSdObjectMemento,
fafdtibb,LimitModeTreeBuilderFactory,
frostwire-desktop,ProxyController,
pcgen-svn,CharacterLevelFacadeImpl,
cdk,RendererClassVisitor,
flume_1,ChokeDecorator,
ju4pa,ConcurrentModificationObserver,
platform_frameworks_base,AnimatorListenerAdapter,
small-team-km-android-client,ActivitiesStackSingleton,
jbehave-core,AuthenticationPolicyBuilder,
cucumber-jvm,ResourceIteratorFactory,
com.idega.core,Singleton,
TapIt-Android-SDK-Source,AlertAdProxy,
Alitheia-Core,ProxyServlet,
ASEME,SUCFactoryImpl,
jbehave-core,DbUnitSteps,
ChenSun,FailoverConnectionProxy,
ocl,ConstraintsFactory,
ChenSun,JDBC4SuspendableXAConnection,
cdt,ExcludedFileDecorator,
playorm,IterableProxy,
javassist,Proxy,
cdt,CDataProxy,
ant,DefaultRmicAdapter,
jbehave-core,InheritingAnnotatedEmbedderUsingSteps,
kodejava,Singleton,
ecf,SmartProxy,
cdt,IndexerASTVisitor,
wonder,ERPrototypes,
sslr,EmptyAlternativeVisitor,
m2eclipse-extras,P2FacadeImpl,
LimeWire-Pirate-Edition,VirusDefinitionDownloadMemento,
molgenis_apps,NameableDecorator,
jbehave-core,AnnotatedEmbedderUsingPico,
LimeWire-Pirate-Edition,BTMetaInfoMementoImpl,
tapestry-bootstrap,BootStrapValidationDecorator,
SamyGo-Android-Remote,SenderFactory,
DimSim,RTMPMinaCodecFactory,
platform,AbstractPDPProxy,
see,NumberFactory,
biojava-legacy,SearchBuilder,
cayenne,ViewFactory,
jbehave-core,AnnotatedEmbedderUsingSpringNamespace,
cdt,CStructureCreatorVisitor,
jbehave-core,GameFrame,
biomixer,NcboRestUrlBuilderFactory,
BuildCraft,FactoryProxy,
cxf,ModuleVisitor,
infinitest,EclipseFacade,
kodejava,SingletonDemo,
swp1-teamhub,AbstractFacade,
molgenis_apps,IdentifiableDecorator,
osate2-core,ThreadGroupPrototypeImpl,
TapIt-Android-SDK-Source,BannerViewProxyPrototype,
3taps-Java-Client,Posting,
jbehave-core,ThreadsSteps,
ant,ExtensionAdapter,
3taps-Java-Client,Utils,
platform,TransactionManagerAxis2ConfigurationContextObserver,
AllBinary-Platform,SmallIntegerSingletonFactory,
cdk,PropertyAdapter,
AllBinary-Platform,GameConfigurationSingleton,
jamendo-android,LicenseBuilder,
jbehave-core,PrintStreamFactory,
cdt,ProjectIndexerInputAdapter,
ChenSun,ConnectionPropertiesTransform,
AllBinary-Platform,AdminUserEmailEventHandlerSingletons,
TwelveMonkeys,Visitor,
modapi,Prototype,
osate2-core,ComponentPrototypeActual,
cxf,TypedefVisitor,
m2eclipse-extras,P2Facade,
